Name,Date joined,Latitude,Longitude,URL
Netherlands,10 December 1945,,,/wiki/Netherlands
New Zealand,24 October 1945,,,/wiki/New_Zealand
Nicaragua,24 October 1945,,,/wiki/Nicaragua
Niger,20 September 1960,,,/wiki/Niger
Nigeria,7 October 1960,,,/wiki/Nigeria
North Macedonia,8 April 1993,,,/wiki/North_Macedonia
Norway,27 November 1945,,,/wiki/Norway
Oman,7 October 1971,,,/wiki/Oman
Pakistan,30 September 1947,,,/wiki/Pakistan
Palau,15 December 1994,,,/wiki/Palau
Panama,13 November 1945,,,/wiki/Panama
Papua New Guinea,10 October 1975,,,/wiki/Papua_New_Guinea
Paraguay,24 October 1945,,,/wiki/Paraguay
Peru,31 October 1945,,,/wiki/Peru
Philippines,24 October 1945,,,/wiki/Philippines
Poland,24 October 1945,,,/wiki/Poland
Portugal,14 December 1955,,,/wiki/Portugal
Qatar,21 September 1971,,,/wiki/Qatar
Republic of Korea,17 September 1991,,,/wiki/Republic_of_Korea
Republic of Moldova,2 March 1992,,,/wiki/Moldova
Romania,14 December 1955,,,/wiki/Romania
Russian Federation,24 October 1945,,,/wiki/Russia
Rwanda,18 September 1962,,,/wiki/Rwanda
Saint Kitts and Nevis,23 September 1983,,,/wiki/Saint_Kitts_and_Nevis
Saint Lucia,18 September 1979,,,/wiki/Saint_Lucia
Saint Vincent and the Grenadines,16 September 1980,,,/wiki/Saint_Vincent_and_the_Grenadines
Samoa,15 December 1976,,,/wiki/Samoa
San Marino,2 March 1992,,,/wiki/San_Marino
Sao Tome and Principe,16 September 1975,,,/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Saudi Arabia,24 October 1945,,,/wiki/Saudi_Arabia
Senegal,28 September 1960,,,/wiki/Senegal
Serbia,1 November 2000,,,/wiki/Serbia
Seychelles,21 September 1976,,,/wiki/Seychelles
Sierra Leone,27 September 1961,,,/wiki/Sierra_Leone
Singapore,21 September 1965,,,/wiki/Singapore
Slovakia,19 January 1993,,,/wiki/Slovakia
Slovenia,22 May 1992,,,/wiki/Slovenia
Solomon Islands,19 September 1978,,,/wiki/Solomon_Islands
Somalia,20 September 1960,,,/wiki/Somalia
South Africa,7 November 1945,,,/wiki/South_Africa
South Sudan,14 July 2011,,,/wiki/South_Sudan
Spain,14 December 1955,,,/wiki/Spain
Sri Lanka,14 December 1955,,,/wiki/Sri_Lanka
Sudan,12 November 1956,,,/wiki/Sudan
Suriname,4 December 1975,,,/wiki/Suriname
Sweden,19 November 1946,,,/wiki/Sweden
